,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
C3AR1,592.113.305.113.455,-225.021.739.367.947,630.550.410.580.499,-356.865.582.183.646,358.817.425.090.456,585.452.465.401.524,FALSE
PDSS1,235.711.189.438.086,-22.481.073.312.953,63.564.112.301.614,-3.536.755.647.004,405.074.253.551.131,641.118.546.361.903,FALSE
IFI44,13125648.54.00,-224.465.305.453.701,641.285.281.533.367,-350.024.103.027.884,464.837.649.565.146,707.806.861.587.515,FALSE
TMEM252,403.808.502.430.698,-224.403.491.313.197,481.975.830.969.327,-465.590.755.581.846,"3,23E+08",158.567.180.887.169,FALSE
ALDOC,2163245.28.00,224.373.994.732.033,51.742.149.368.466,433.638.720.985.905,"1,45E+09",502.110.141.134.111,FALSE
VPS9D1-AS1,898.541.803.252.695,-224.355.645.102.427,564.657.571.341.944,-397.330.446.786.061,"7,09E+09",173.852.298.807.502,FALSE
QTRT1,503.768.653.135.606,224.065.642.127.626,525.579.921.798.138,426.320.779.836.951,"2,02E+09",660.418.192.795.512,FALSE
ACSL1,126.944.370.131.312,-223.535.290.398.939,533.515.444.360.709,-418.985.603.437.953,"2,79E+08",831.199.659.040.896,FALSE
IFITM3,28139843.52.00,-223.180.019.213.967,528.845.258.134.497,-422.013.842.009.732,"2,44E+09",754.622.677.558.539,FALSE
B3GNT5,242.264.208.041.854,-223.127.216.126.901,60.173.056.606.907,-370.809.177.244.437,208.826.979.363.309,391.079.096.820.778,FALSE
EPHB2,697.296.852.508.177,-221.378.165.895.677,734.875.907.136.597,-301.245.643.986.704,259.142.624.936.815,237.941.441.866.731,FALSE
DDIT4,497.994.519.803.723,-220.992.947.879.651,537.296.202.141.661,-411.305.620.621.873,"3,90E+09",109.413.817.560.369,FALSE
KLRC3,389.427.149.721.776,220.920.729.739.112,521.269.755.384.608,423.812.675.600.391,"2,25E+09",720.787.853.181.109,FALSE
AGRN,242.594.736.107.462,-220.919.882.457.543,657.925.875.572.239,-335.782.328.465.795,785.588.191.046.062,10.274.808.851.927,FALSE
TLR5,462.926.006.467.012,-220.668.606.398.293,52.070.287.274.549,-423.789.877.007.557,"2,26E+09",720.787.853.181.109,FALSE
JUP,839.059.702.778.001,-220.544.880.191.738,635.679.162.251.883,-346.943.699.413.493,521.550.380.947.859,763.579.216.265.768,FALSE
FCER2,195.275.401.534.349,220.277.460.587.096,684.057.731.157.363,322.015.892.159.287,12.811.955.027.904,144.530.511.467.107,FALSE
WDFY3,112.612.083.996.305,-21.957.026.280.112,655.476.220.251.963,-334.978.228.068.622,808.751.023.159.083,10.493.205.270.418,FALSE
GBP3,793.907.647.516.073,-218.716.745.490.296,384.038.084.937.081,-569.518.373.486.655,"1,23E+06","2,13E+08",FALSE
PARP10,6173614.47.00,-218.597.907.368.056,378.766.948.536.531,-577.130.365.288.386,"7,87E+05","1,46E+08",FALSE
STAT2,524.596.755.410.909,-218.488.907.140.291,362.206.943.814.552,-603.215.677.864.409,"1,62E+04","4,61E+07",FALSE
STOM,996.799.005.261.322,-218.398.690.466.264,597.637.567.047.725,-365.436.683.549.084,257.817.431.465.407,456.585.063.022.199,FALSE
XAF1,29571113.33.00,-218.177.309.463.945,508.589.960.731.512,-42.898.469.554.951,"1,79E+09",599.756.368.913.104,FALSE
EIF2AK2,115.175.079.340.639,-217.876.544.571.845,520.277.864.404.256,-418.769.583.482.711,"2,82E+09",836.963.152.833.042,FALSE
TGM2,509.778.374.562.451,-215.586.652.177.404,546.014.173.793.537,-39.483.709.860.419,"7,87E+09",189.324.929.313.416,FALSE
SCN1B,429.912.525.651.521,-215.391.336.953.778,309.594.501.449.393,-695.720.808.817.357,"3,47E+02","3,96E+03",FALSE
GSN-AS1,330.755.924.857.512,-214.601.516.938.569,428.146.235.661.067,-501.234.155.678.655,"5,38E+07","3,96E+08",FALSE
OPLAH,622.114.951.549.148,-214.492.302.742.704,792.713.020.796.919,-270.580.017.125.331,681.400.350.950.353,467.656.719.791.973,FALSE
CASP1P2,479.226.171.410.546,-214.382.134.488.422,409.626.549.897.654,-523.359.959.314.125,"1,66E+07","1,54E+09",FALSE
FGD4,274.522.787.496.894,-21.371.973.348.437,464.794.855.888.198,-459.815.186.800.989,"4,26E+08",197.619.554.847.074,FALSE
SRGAP2,793.166.441.344.736,-213.591.959.775.598,654.359.307.104.204,-326.413.879.128.313,109.797.365.330.935,130.035.197.466.181,FALSE
C19orf35,393.483.318.547.927,-213.026.508.353.056,367.573.169.532.649,-579.548.579.739.672,"6,81E+05","1,36E+08",FALSE
DDX60L,381.376.689.321.991,-212.778.443.187.988,43.841.693.369.125,-485.333.541.741.878,"1,21E+07","7,52E+09",FALSE
BST2,285.458.600.663.652,-212.036.874.988.428,485.897.488.262.198,-436.381.912.050.572,"1,28E+09",449.903.553.931.428,FALSE
EPSTI1,275.691.095.029.405,-211.917.730.445.756,451.183.854.696.965,-46.969.262.804.869,"2,64E+08",135.681.338.092.213,FALSE
RNF213,166.877.030.253.896,-211.811.098.724.811,439.309.406.817.285,-482.145.602.707.083,"1,43E+08","8,25E+08",FALSE
LMNB1,183.543.484.306.596,-211.766.679.571.126,392.839.536.774.677,-539.066.615.620.694,"7,02E+06","7,93E+07",FALSE
SAP30,614.413.186.007.747,-211.614.665.420.997,551.745.615.205.168,-383.536.650.929.809,12.537.718.895.734,269.658.995.140.433,FALSE
SAMD9L,503.216.838.567.365,-211.562.920.549.655,423.599.801.148.086,-499.440.556.809.173,"5,90E+07","4,23E+08",FALSE
LOC399715,293.051.151.252.767,-211.439.681.863.411,458.498.316.088.981,-461.156.943.098.514,"4,00E+08",188.342.794.743.163,FALSE
GADD45A,20.058.791.638.724,-211.416.482.739.656,539.139.401.823.057,-392.136.953.865.304,"8,80E+09",204.516.769.751.053,FALSE
PNPT1,182.101.324.327.169,-211.224.608.625.542,644.112.752.522.892,-327.931.108.021.394,104.060.857.984.816,125.191.359.210.636,FALSE
TMEM256,702.307.709.568.778,21.065.819.047.268,60.597.022.910.268,347.637.854.725.342,508.234.365.449.627,750.830.691.444.689,FALSE
PADI2,246.379.856.411.433,-210.149.546.871.234,664.162.373.903.497,-316.412.906.133.357,155.547.801.848.393,165.332.961.796.918,FALSE
CFAP58-AS1,885.873.266.647.951,-210.101.307.279.999,518.200.304.638.884,-405.444.198.699.211,"5,03E+09",13.255.698.463.958,FALSE
B4GALT5,169.564.257.842.513,-209.775.691.462.882,418.523.477.758.441,-501.228.013.745.882,"5,38E+06","3,96E+08",FALSE
TRIB1,973.724.878.275.002,-209.675.663.236.766,49.615.281.253.978,-422.602.992.339.088,"2,38E+09",747.470.419.571.082,FALSE
GBP4,205.222.361.556.776,-209.568.416.849.094,421.220.403.079.983,-497.526.746.844.931,"6,52E+07","4,61E+09",FALSE
DOCK4,134.455.231.528.178,-209.548.001.375.592,51.931.691.465.672,-403.506.982.849.014,"5,46E+09",141.008.727.345.837,FALSE
DDX58,271.044.246.646.278,-209.350.553.322.731,489.944.887.105.737,-427.294.087.217.509,"1,93E+09",637.726.690.189.442,FALSE
CLC,436.407.068.203.721,209.310.357.076.997,743.190.579.378.513,281.637.527.284.094,485.688.976.608.371,36.816.279.377.337,FALSE
PLB1,941.916.069.514.772,-209.059.785.837.821,489.567.931.881.385,-427.029.166.380.271,"1,95E+09",643.484.288.067.457,FALSE
ADAMTSL4,915.918.571.138.702,-209.029.556.343.813,424.445.361.735.029,-49.247.694.800.893,"8,45E+06","5,67E+09",FALSE
KLRC4,31.733.420.328.803,208.634.738.236.893,755.924.114.258.181,275.999.580.251.035,578.021.041.868.412,418.065.071.541.741,FALSE
TRIM5,618.774.443.413.147,-208.384.120.441.403,379.698.832.312.791,-548.814.225.137.619,"4,06E+06","5,26E+08",FALSE
CR1,21.027.509.108.354,-208.158.410.675.736,686.902.166.417.506,-303.039.385.887.181,244.235.014.942.231,227.946.018.446.493,FALSE
MYBL1,215.873.509.544.426,207.789.613.504.491,573.766.781.801.056,362.149.953.770.831,292.900.329.000.084,504.611.518.466.157,FALSE
DYNLT1,123.177.779.041.276,-207.667.210.934.231,516.972.488.035.404,-401.698.766.840.392,"5,89E+09",150.637.108.242.129,FALSE
FCER1G,373.675.545.977.755,-207.550.637.935.072,384.628.665.738.344,-539.613.025.297.145,"6,81E+06","7,84E+08",FALSE
SAMD4A,203.983.875.045.288,-206.712.982.101.195,626.749.801.565.559,-329.817.387.392.619,973.158.531.731.987,120.508.936.529.895,FALSE
CREG1,705.135.661.685.928,-206.472.341.500.019,404.986.453.706.178,-509.825.303.070.055,"3,43E+07","2,79E+09",FALSE
LAP3,118.825.200.632.894,-206.260.983.979.067,543.313.830.750.725,-379.635.069.650.381,146.841.731.795.204,305.050.992.918.817,FALSE
IGF2BP3,917.723.626.274.601,-205.287.969.491.436,465.732.923.252.049,-440.784.748.602.229,"1,04E+09",391.683.031.688.189,FALSE
GPD2,299.268.733.557.048,-205.138.522.857.409,375.149.440.119.519,-546.818.150.100.541,"4,55E+06","5,76E+08",FALSE
MATK,271.010.472.210.545,204.988.541.280.748,328.074.023.686.127,624.824.053.357.129,"4,15E+04","1,48E+07",FALSE
TMEM140,299.465.088.544.603,-204.813.887.621.262,383.931.709.392.251,-533.464.370.383.667,"9,57E+04","1,00E+09",FALSE
COL9A2,110.219.413.304.346,-204.197.885.814.868,482.242.324.827.831,-423.434.185.059.907,"2,29E+09",728.210.935.886.517,FALSE
KCNJ2-AS1,579.352.979.710.076,-204.132.333.146.143,574.583.460.344.026,-355.270.116.936.399,38.129.734.786.423,61.335.631.204.394,FALSE
TMEM204,227.816.713.216.065,203.597.104.479.192,536.867.377.578.159,379.231.655.679.343,149.248.493.728.006,308.925.421.228.295,FALSE
GRINA,229.469.803.078.823,-203.520.093.648.182,455.641.479.679.673,-446.667.177.429.197,"7,94E+08",32.349.036.125.073,FALSE
PTGES3L-AARSD1,231.715.903.324.657,202.948.855.103.481,701.719.249.164.695,289.216.599.580.339,382.595.744.498.225,314.915.627.871.826,FALSE
GPR27,856.080.884.731.864,-202.752.403.039.374,533.134.165.673.763,-380.302.775.724.643,142.938.332.998.149,299.121.410.613.557,FALSE
HOPX,122.792.738.624.135,202.745.532.157.533,212.568.532.182.463,953.789.020.773.316,"1,46E-07","1,66E-03",FALSE
ADK,581.478.238.713.795,202.565.427.188.802,337.895.165.334.696,599.491.937.057.326,"2,04E+05","5,53E+07",FALSE
OSM,240.810.937.461.416,-202.410.570.415.767,530.632.649.567.194,-381.451.406.318.216,136.451.166.828.521,289.799.917.631.151,FALSE
ECRP,234.421.850.316.197,-20.237.547.594.898,700.369.376.178.693,-28.895.534.675.312,385.789.394.202.214,3.165.985.979.107,FALSE
MLKL,124.890.117.342.192,-201.900.741.733.469,438.089.809.201.362,-460.866.099.810.753,"4,05E+07",189.430.736.106.832,FALSE
SIGLEC5,131.710.343.515.142,-201.782.898.285.377,531.272.718.395.311,-37.981.038.984.056,145.807.207.353.031,303.454.598.514.839,FALSE
VAMP5,640.129.930.394.479,-201.482.154.349.087,42.688.026.182.393,-471.987.515.862.679,"2,36E+08",123.461.443.459.684,FALSE
NHLH1,126.294.560.464.087,-200.790.989.565.036,501.838.914.418.264,-400.110.441.410.855,"6,30E+09",157.687.950.396.039,FALSE
JCHAIN,459.138.473.375.618,-200.059.685.736.675,731.958.818.405.426,-273.320.958.373.731,627.204.079.729.028,442.145.894.433.055,FALSE
LOC100128770,432.753.669.227.182,-200.042.109.216.641,543.443.605.929.856,-368.100.952.948.669,232.312.321.232.202,419.892.555.254.083,FALSE
RALGAPA2,688.271.233.957.836,-199.896.125.797.738,489.609.671.608.896,-408.276.505.529.116,"4,45E+09",12.084.686.108.522,FALSE
GCH1,101.913.164.481.953,-199.880.214.316.519,433.208.751.355.811,-46.139.468.256.575,"3,95E+08",186.972.692.393.605,FALSE
UPP1,867.020.997.906.819,-199.816.065.278.463,520.731.825.144.608,-383.721.631.039.112,124.436.856.598.109,26.878.832.376.921,FALSE
LOC729737,164.535.905.118.925,-199.497.935.817.293,535.950.703.386.151,-372.231.876.097.671,197.401.595.082.514,37.774.583.756.981,FALSE
DDX60,114.370.136.055.155,-198.887.269.971.046,498.487.838.641.752,-398.981.187.811.847,"6,61E+09",16.394.866.021.697,FALSE
CRISP3,140.516.895.636.192,-197.832.214.090.874,589.732.140.089.202,-335.461.136.747.525,794.765.545.530.179,103.355.770.202.642,FALSE
CRIP2,567.763.641.428.996,197.757.531.987.583,67.998.558.072.812,290.826.066.893.693,363.445.250.878.231,30.344.751.729.621,FALSE
IDI1,915.312.033.892.013,-197.728.340.123.494,554.732.036.785.971,-356.439.374.349.281,364.698.150.950.282,590.821.365.282.382,FALSE
GRAMD1A,186.189.504.662.609,-197.700.610.762.923,500.233.974.456.784,-395.216.280.496.763,"7,74E+08",186.743.054.257.653,FALSE
HSPA1A,480.083.606.670.849,-197.133.818.785.198,618.315.427.088.374,-318.824.034.058.951,143.141.505.888.761,155.924.438.840.623,FALSE
CXCR2P1,103.724.952.559.079,-196.908.526.763.755,471.698.600.880.122,-41.744.564.515.636,"2,99E+09",875.746.696.973.771,FALSE
ADHFE1,204.047.510.198.748,196.902.376.010.494,527.944.006.300.461,372.960.718.675.976,191.778.512.700.748,368.842.147.951.439,FALSE
SYTL3,483.858.741.121.481,-196.894.069.153.875,359.308.546.275.614,-547.980.478.601.932,"4,26E+06","5,46E+08",FALSE
CLEC4E,199.284.353.289.977,-1.968.337.621.309,603.210.885.582.147,-326.310.029.934.124,110.200.510.969.495,130.377.264.274.595,FALSE
PARP11,196.026.149.806.388,-196.574.986.920.187,228.540.084.848.449,-860.133.516.842.532,"7,88E-04","3,00E-01",FALSE
TRIM22,713.876.349.998.694,-195.866.334.489.775,373.870.532.247.637,-523.888.131.306.485,"1,62E+07","1,52E+09",FALSE
SAT1,103.266.218.707.827,-195.697.829.940.197,442.149.796.227.995,-442.605.270.000.589,"9,60E+08",369.788.193.798.281,FALSE
P2RY6,311.870.737.228.227,-195.691.765.047.783,690.899.012.206.253,-283.242.212.813.243,461.968.169.970.277,354.797.776.330.708,FALSE
DNAJC13,51.807.913.447.598,-195.508.634.133.561,290.181.795.728.557,-67.374.534.519.886,"1,61E+03","1,31E+06",FALSE
FZD5,188.266.995.199.158,-195.231.141.063.435,445.406.802.102.895,-438.320.968.924.793,"1,17E+09",421.033.725.122.734,FALSE
MAPK14,26.943.546.545.888,-195.199.297.340.548,478.242.121.453.394,-408.159.985.463.705,"4,47E+09",121.165.944.712.155,FALSE
SPTLC2,140.070.699.829.674,-195.176.371.988.847,334.486.147.289.254,-583.511.076.828.137,"5,38E+05","1,13E+08",FALSE
ZNF438,460.247.290.860.112,-19.495.123.364.395,399.216.206.217.421,-488.334.968.890.955,"1,04E+08","6,65E+09",FALSE
DBF4B,656.573.941.818.235,-194.839.640.292.856,362.131.444.386.537,-538.035.686.525.154,"7,43E+06","8,31E+07",FALSE
UBE2L6,455.393.448.550.743,-194.656.143.953.843,420.435.900.438.738,-462.986.495.089.294,"3,66E+08",176.081.793.140.412,FALSE
TGFA,362.706.786.017.173,-194.164.431.945.491,595.390.028.290.281,-326.113.006.129.868,110.969.127.600.661,130.563.920.442.413,FALSE
HSPA1B,352.689.495.709.971,-194.008.197.984.561,605.819.678.856.179,-320.240.831.976.371,13.628.367.286.577,150.320.627.566.161,FALSE
TOR1B,909.090.862.389.911,-193.444.082.398.711,411.367.028.527.108,-470.246.930.317.516,"2,57E+08",132.645.760.799.994,FALSE
TTC26,426.021.962.649.799,-193.286.086.475.191,50.857.582.585.406,-3.800.536.255.348,144.383.290.477.504,301.040.480.419.732,FALSE
ECI2,528.190.976.999.487,193.172.452.175.697,396.032.142.194.543,487.769.631.791.162,"1,07E+08","6,77E+09",FALSE
TNFSF15,167.371.938.062.205,-193.161.851.139.514,476.194.245.195.618,-405.636.676.814.865,"4,98E+09",132.197.137.754.669,FALSE
CD163,748.418.904.692.751,-193.161.233.965.017,418.051.723.432.084,-462.051.040.907.616,"3,83E+07",183.437.031.352.802,FALSE
SLA,393.175.417.719.536,-192.818.553.708.226,278.200.332.179.478,-693.092.463.972.442,"4,18E+02","4,33E+05",FALSE
TRIM25,402.666.353.472.723,-192.033.906.390.079,379.771.277.216.339,-505.656.741.072.301,"4,27E+07","3,29E+09",FALSE
ACOT9,377.762.309.912.896,-191.957.077.552.097,494.795.255.641.949,-387.952.542.720.021,104.660.460.670.221,233.135.264.442.163,FALSE
PTP4A1,111.111.357.067.152,-191.928.506.285.957,349.685.301.777.564,-548.860.662.173.453,"4,05E+06","5,26E+08",FALSE
PPP2R2B,243.562.345.766.195,19.183.103.888.697,39.777.686.169.488,482.257.912.311.946,"1,42E+08","8,25E+08",FALSE
FLVCR2,144.401.861.925.431,-191.589.271.323.416,317.435.276.211.616,-603.553.812.953.337,"1,58E+05","4,61E+07",FALSE
TCONS_00029157,158.862.431.623.002,-191.429.640.927.177,509.576.867.493.301,-375.663.914.786.503,172.210.535.533.243,339.216.089.422.562,FALSE
A1BG,338.553.934.978.486,191.323.381.799.292,713.425.989.343.191,268.175.514.569.398,732.370.423.289.449,492.493.200.331.142,FALSE
LGALS9,234.877.197.447.686,-19.123.594.447.122,474.548.319.432.831,-402.985.189.579.389,"5,58E+09",143.687.569.864.935,FALSE
TLR4,326.386.297.481.405,-190.917.643.942.418,453.403.083.967.894,-421.077.074.005.824,"2,55E+09",771.963.558.448.086,FALSE
STK3,862.233.924.385.281,-190.756.938.247.824,512.379.954.934.982,-37.229.586.444.698,196.901.783.692.182,377.422.662.690.644,FALSE
TRAFD1,239.530.422.583.247,-19.021.934.043.621,386.516.782.033.003,-492.137.338.605.826,"8,59E+07","5,71E+09",FALSE
ODF3B,71.891.218.755.644,-190.207.461.943.769,485.187.486.146.104,-392.028.787.581.905,"8,84E+09",205.019.375.837.094,FALSE
TNFAIP6,78.164.337.754.703,-189.809.128.180.446,676.510.359.922.234,-28.057.091.128.991,502.059.928.737.111,37.695.809.659.294,FALSE
SAMD9,306.774.911.473.559,-189.510.750.583.307,415.501.800.207.564,-45.610.091.337.423,"5,09E+07",226.800.749.010.587,FALSE
MCTP2,106.679.916.458.607,-189.003.257.139.196,526.885.847.985.543,-35.871.765.746.189,334.277.968.281.207,559.008.831.121.285,FALSE
BHLHA15,146.666.079.300.189,-188.826.729.594.691,660.006.196.762.145,-286.098.419.258.844,422.328.108.744.378,334.954.942.992.324,FALSE
PARP9,425.180.300.182.617,-188.784.502.420.173,41.151.667.482.207,-458.752.983.707.888,"4,49E+08",204.615.435.965.271,FALSE
LINC01270,618.963.180.721.353,-188.385.777.843.954,507.261.975.080.729,-371.377.684.704.187,204.188.861.514.442,386.589.536.384.206,FALSE
NAPA,209.255.502.682.005,-1.872.582.903.763,371.809.873.472.767,-503.639.907.749.829,"4,74E+07","3,56E+09",FALSE
CREM,118.454.354.888.242,-186.937.091.206.571,293.520.497.311.189,-636.879.171.706.981,"1,91E+04","8,69E+06",FALSE
FGF13,217.823.113.235.174,-186.872.322.867.928,550.418.298.835.136,-339.509.647.959.398,686.044.203.723.585,940.424.776.859.073,FALSE
ELMO2,764.076.052.415.831,-186.555.820.598.227,307.282.403.024.414,-607.115.209.859.267,"1,27E+05","3,91E+07",FALSE
HIST2H2BF,503.844.496.845.395,-186.251.884.920.595,503.493.337.121.052,-369.919.264.444.636,216.286.389.783.688,399.796.803.157.691,FALSE
ST3GAL4,324.999.022.021.077,-186.242.625.516.881,606.860.506.010.392,-30.689.528.099.509,214.810.519.739.071,207.593.810.840.538,FALSE
DDIAS,586.014.935.737.369,-186.209.525.191.358,627.182.608.144.314,-296.898.419.652.147,298.785.962.378.689,263.139.297.369.031,FALSE
PANDAR,222.956.637.426.258,-186.205.269.520.756,412.581.627.995.991,-451.317.404.570.824,"6,39E+08",270.771.534.306.704,FALSE
XRN1,127.243.207.458.256,-186.081.952.507.755,378.869.200.077.345,-491.150.910.313.551,"9,04E+07","5,89E+09",FALSE
PARP12,182.429.835.509.247,-185.651.148.764.359,402.140.157.880.116,-461.657.820.355.519,"3,90E+08",186.163.505.792.368,FALSE
NLRC4,49.404.393.923.461,-185.578.247.269.784,4.931.121.764.785,-376.340.833.023.163,167.613.185.504.166,332.457.109.682.612,FALSE
KIAA0226,104.980.551.289.226,-185.539.783.209.098,344.173.785.255.592,-539.087.493.462.964,"7,01E+06","7,93E+07",FALSE
ELL2,209.608.568.414.368,-185.251.448.431.006,413.346.555.046.635,-448.174.651.921.571,"7,40E+07",306.760.179.439.025,FALSE
SP140,817.845.757.804.984,-184.661.210.213.013,291.901.142.265.847,-63.261.557.930.059,"2,51E+04","1,06E+07",FALSE
TNFSF13B,289.488.824.917.728,-184.446.945.607.432,5.152.386.024.364,-357.983.553.125.176,343.810.531.843.035,570.765.519.020.351,FALSE
LOC101927027,761.677.178.091.867,-184.317.683.415.494,457.512.563.326.296,-402.869.119.211.573,"5,61E+09",143.749.737.425.651,FALSE
TBKBP1,456.686.017.072.057,-184.236.295.316.667,376.619.405.435.832,-489.184.286.995.156,"9,99E+06","6,40E+09",FALSE
IMPDH2,248.424.066.676.288,183.600.949.616.556,380.080.349.322.729,483.058.253.192.299,"1,36E+08","8,08E+09",FALSE
YPEL4,116.463.661.761.908,-183.405.379.183.311,434.530.771.137.894,-422.076.850.168.821,"2,43E+09",754.622.677.558.539,FALSE
E2F2,185.183.847.593.772,-182.793.246.826.943,322.275.323.729.805,-56.719.591.407.562,"1,41E+06","2,33E+08",FALSE
STX11,241.670.566.127.762,-182.525.747.192.541,471.721.390.598.497,-386.935.489.529.024,10.912.370.327.274,240.726.467.277.678,FALSE
RRBP1,47.498.037.560.197,-182.293.490.414.205,298.009.662.692.128,-611.703.287.629.742,"9,53E+03","3,11E+07",FALSE
MAFB,93.188.973.840.078,-182.178.718.869.367,453.921.870.258.164,-401.343.779.196.528,"5,98E+09",15.202.135.717.779,FALSE
RNASE2,175.913.016.809.961,-182.055.753.912.937,592.784.012.061.742,-307.119.878.756.066,213.201.156.195.169,206.689.694.674.902,FALSE
TRPM2,141.507.027.613.782,-181.982.751.002.039,592.238.863.963.531,-307.279.312.580.279,212.065.445.176.524,206.189.804.112.384,FALSE
ZNFX1,25.659.756.888.058,-181.070.837.532.201,275.512.574.021.769,-657.214.423.607.012,"4,96E+03","2,83E+06",FALSE
FMNL2,690.441.403.145.294,-181.005.917.340.988,48.221.328.106.193,-375.364.852.959.622,17.427.918.575.681,342.109.141.748.093,FALSE
GSTM2,637.566.539.010.016,180.952.586.087.457,549.886.799.774.741,329.072.431.201.446,999.297.951.850.608,12.215.426.731.893,FALSE
TIFA,49.567.020.521.043,-180.938.964.242.878,440.126.949.287.165,-411.106.305.887.265,"3,94E+09",109.823.070.210.147,FALSE
TMEM180,116.005.264.327.738,-180.834.380.555.862,306.712.339.338.552,-589.589.518.784.424,"3,73E+05","8,67E+07",FALSE
SCARNA17,300.869.137.946.196,180.779.070.015.125,589.714.764.609.341,306.553.406.603.076,217.281.623.661.143,208.945.777.222.204,FALSE
B4GALT4,151.493.232.963.744,-180.627.274.749.786,425.027.505.781.608,-424.977.848.004.497,"2,14E+09",687.454.936.720.541,FALSE
KIF1B,525.904.894.937.362,-180.383.237.674.663,514.274.506.953.419,-35.075.282.798.531,4.522.902.777.291,693.332.312.756.069,FALSE
RASGRP3,140.151.652.987.169,-180.284.715.827.074,392.004.216.766.368,-459.905.042.129.999,"4,24E+07",19.757.233.426.043,FALSE
IFITM1,29402814.45.00,-180.127.112.085.439,503.609.619.460.402,-357.672.103.798.253,347.931.126.226.143,574.262.589.668.474,FALSE
